input.Down	input.Down2	input.Down2NoFDR	input.DownNoFDR
LINC02055		LINC02438	LINC02055
LARP1B		ARHGAP21	LARP1B
SLC39A8		CACNA1C	SLC39A8
GKAP1		LINC01579	GKAP1
HPSE2		HIVEP3	HPSE2
C1orf115		CRADD	C1orf115
CNOT6		HNRNPA1P4	CNOT6
RPL30P10		AIFM1	RPL30P10
MEI4		BCOR	MEI4
OPCML		CACNB2	OPCML
LINC02422		PAX9	LINC02422
WDR41		EXT1	WDR41
AGL		KCNH7	AGL
MARK4		TNFRSF8	MARK4
TRAM1L1		RPL21P43	TRAM1L1
LINC02362		ZRANB3	LINC02362
LINC01644		RBM43P1	LINC01644
MYO10		SLC45A2	MYO10
RIMBP2		MTNR1B	RIMBP2
NRSN2		RPS29P33	NRSN2
SNF8		DSCAM	SNF8
RUNX2		COX10-AS1	RUNX2
LINC02240		ERVW-1	LINC02240
DRICH1		TEAD1	DRICH1
ACVR1C		GATM	ACVR1C
FAM162B		BUD31P1	FAM162B
AADAC		OPN3	AADAC
PRKCQ		MTCYBP3	PRKCQ
WDR11		LINC01098	WDR11
KCND2		RF00275	KCND2
TNFRSF21		ARHGAP20	TNFRSF21
LRRC4C		OR10T2	LRRC4C
RBPJL		MTCYBP8	RBPJL
		STXBP5-AS1	BBS2
		SLC2A13P1	OR10J1
		SALL4	CYP2R1
		KANSL1L	MGAT4C
		KRT8P3	UCP1
		PTMAP6	MYO5A
		CLIC5	LINC00882
		RNASET2	ZNF275
		ARHGAP15	RF00093
		FRMD6-AS2	SIM2
		DLG3	FGF10-AS1
		ARID1B	SPEF2
		P3H2	KIAA1217
		PPIAP24	SLC2A9
		ZEB2	HPRT1P2
		QRSL1P2	CNTN5
		LINC02549	LINC01497
		USP38	ZMAT4
		Z86062.1	RSL24D1P9
		RPS11P5	ZNF366
		LINC02161	EPM2A
		CKS1BP5	MIATNB
		ENPP6	HULC
		LINC02552	LINC01339
		SCARA5	KBTBD12
		ACAP2	GHITM
		TMOD2	FAM155A
		KRAS	HEATR1
		SYT4	PMEPA1
		RASSF10	LONP2
		RPS3AP24	TTLL8
		SPRTN	GNG5P1
		NXPH1	OTOGL
		RAB9BP1	RAPGEF2
		FABP3P2	CCNB3P1
		DAZL	ZFPM2
		MDH2	LDHAL6DP
		CALM1P2	EFEMP1
		RF00287	TAB2
		F11R	VWA8
		FER	ROCK1
		PAXX	ASS1P11
		KIRREL1	KDM4C
		SCD5	LINC02059
		HMGB3P12	LHX2
		DIO2	ZNF418
		ZMIZ2	LRFN2
		HAO1	LINC01902
		PES1P2	ADRA1A
		CSNK1G1	DPH5
		RAP1B	RNF8
		FOXP1	DCDC1
		EFNB1	PPP1R1C
		NPAP1P6	GNPAT
		CD44	CDC27
		LINC02607	SGCE
		LINC00554	DLGAP1-AS4
		TBC1D2	GAPDHP24
		RAB24	MAGI3
		LINC00500	TMEM232
		EGLN3	MKNK1-AS1
		LINC01748	FTLP1
		LINC01950	LINC00709
		KBTBD8	PDE11A
		RGS9	OR52I1
		HMGA2-AS1	MRPL2P1
		MAN1A2P1	LINC02089
		RANBP3L	AFAP1-AS1
		EIF4BP3	Z93403.1
		UBE2CP4	RF00416
		NKAIN1P1	GRIN2A
		PEX14	CTTNBP2
		RPL17P35	CTDSPL
		LINC01449	FOXN2
		ARHGEF28	IQCF2
		VPS35	SI
		IMMP1LP2	COX7A2P2
		TMF1P1	RF00045
		PRKD1	RPL29P32
		PXDN	FAM166B
		PRTG	HNRNPA3P6
		COPB1	SOX5
		LINC02650	EYS
		EIF2AP4	MTND2P9
		PRPSAP1	SLC1A2
		RUNX1T1	MAN2A1
		RHBDD1	LRPPRC
		VN1R76P	NRG1-IT3
		AK5	EEF1GP4
		NREP-AS1	EXOC4
		ADAMTS20	UBE2V1P10
		QTRT2	HSD11B1
